time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000240, 0.013361739507692308, 0.0134901945, 0.0131471381, 0.04002726078461538, 0.0404117666, 0.0393909737
0.000240, 0.017245466900000003, 0.0173834022, 0.0170137119, 0.051694417792307684, 0.0521083064, 0.0510089695
0.000240, 0.013202246784615386, 0.0133561576, 0.0129448604, 0.039568964961538465, 0.0400346778, 0.0388001427
0.000220, 0.017205867458333333, 0.017331101, 0.0170038454, 0.05158909254166666, 0.051962018, 0.0509907268
0.000240, 0.013108727515384614, 0.0132897701, 0.0128255058, 0.03929844241538462, 0.0398454592, 0.0384524018
0.000240, 0.017171109530769228, 0.0173092447, 0.0169536155, 0.05148516624615385, 0.051896546, 0.0508438684
0.000240, 0.013054020346153846, 0.0132615548, 0.0127175553, 0.03913414563846154, 0.0397605002, 0.0381270982
0.000240, 0.017155542115384618, 0.0172997434, 0.0169513077, 0.05145112053076924, 0.0518810786, 0.050851211
0.000240, 0.013053265476923075, 0.0132733379, 0.01269136, 0.039133165899999996, 0.039796371, 0.038050171
0.000240, 0.017195958069230768, 0.0173440352, 0.016974913, 0.051570850792307686, 0.0520133153, 0.0509195812
